Geneid	ICU_06	ICU_25	ICU_26	ICU_27	NON_07	NON_19	NON_20	NON_22	NON_23	NON_26	NON_28
ENSG00000084674	0	0	0	4	2	5	14	0	0	0	2
ENSG00000084676	2952	1499	2216	3828	1177	1860	1521	2887	1399	1060	1402
ENSG00000084693	787	269	223	998	1171	1313	866	1740	1083	2684	1067
ENSG00000084710	4	22	9	24	40	72	30	86	8	76	16
ENSG00000084731	132	130	112	134	162	130	38	68	108	116	44
ENSG00000084733	14024	11907	4390	8476	7992	3877	5623	12852	7881	5461	8976
ENSG00000084734	0	14	16	12	12	0	2	8	2	6	2
ENSG00000084754	4207	3181	3718	3890	3797	6465	2608	4739	5985	5725	3987
ENSG00000084764	1879	501	337	2200	2860	2872	2454	4729	3548	6346	2929
ENSG00000084774	519	378	246	450	581	691	247	762	514	576	521
ENSG00000085063	38778	27133	10303	34931	44622	30228	44482	66770	73372	42923	47979
ENSG00000085117	3810	2673	11099	9240	3256	3691	2165	4150	3509	3259	2487
ENSG00000085185	219	210	208	325	244	102	82	116	156	263	62
ENSG00000085224	5448	3356	750	2568	2836	1848	3393	5467	3035	1060	3752
ENSG00000085231	1557	1174	316	682	915	613	1122	2147	1366	1179	1303
ENSG00000085265	2480	956	1587	4517	92	622	0	36	106	80	50
ENSG00000085274	2115	1395	507	1080	1063	757	1216	2084	1181	492	1505
ENSG00000085276	8130	3747	759	3234	4181	4254	5965	11159	4590	1737	6048
ENSG00000085365	3194	1625	346	1910	2336	1395	2617	4589	2375	1058	3009
ENSG00000085377	1908	1371	443	1025	1537	1343	1035	1903	1165	1158	1385
ENSG00000085382	522	205	102	210	330	232	300	697	230	98	383
ENSG00000085415	1449	1285	506	933	976	955	840	1675	1078	875	1139
ENSG00000085433	1528	1296	616	1080	1402	806	1268	2595	1241	727	1430
ENSG00000085449	5070	3169	1097	2758	3044	2914	3959	8986	4665	1878	5656
ENSG00000085465	471	567	201	235	460	3239	1656	2890	1364	194	1779
ENSG00000085491	2173	1443	417	2177	1359	648	1681	3490	1014	889	1345
ENSG00000085511	1544	1283	884	1091	1678	1663	1052	2362	1660	1327	1274
ENSG00000085514	1776	459	4532	7834	267	509	170	152	370	295	125
ENSG00000085552	482	385	218	387	628	594	128	537	383	547	276
ENSG00000085563	60	20	12	46	14	26	36	24	84	10	22
ENSG00000085644	184	110	372	381	158	288	108	190	224	450	156
ENSG00000085662	2768	9750	8907	2007	1455	2384	1802	4159	2902	2139	2296
ENSG00000085719	7668	3764	1382	4365	5331	4455	5926	8753	5873	2915	6719
ENSG00000085721	2149	1382	484	1085	1242	1066	1398	2607	1464	746	1882
ENSG00000085733	6662	5458	3440	6623	6586	7678	4236	8088	7754	9668	5017
ENSG00000085741	28	16	2	14	53	67	76	75	27	75	14
ENSG00000085760	2440	2009	604	1184	1978	2209	2641	4248	2786	1432	2352
ENSG00000085788	1788	1104	257	661	1164	1567	1598	2705	1557	573	2328
ENSG00000085831	1861	1391	588	1142	1279	2092	1908	3510	2036	3218	1594
