"","ICU_01","ICU_02","ICU_03","ICU_04","NON_01","NON_02","NON_03","NON_04","NON_05","NON_06","NON_07"
"ENSG00000167604",4.23238026505001,4.27708766714863,7.08688713143927,6.48137541865742,2.20957575924698,3.49527933570367,1.23814724311433,1.43527003500611,1.88867287355455,3.23444558857188,1.45554870860529
"ENSG00000167613",3.71817751899172,4.47296602381036,6.88296129731546,5.88346709289236,2.10764620691179,3.28513011527131,3.33696406206519,2.36817500549928,2.78696393175419,2.20486488606103,2.30066693896838
"ENSG00000167634",-0.649656878567201,0.662380029254517,2.02174884636313,0.290516543807457,-2.4590727325998,-3.72820370017447,-4.31048791661948,-4.31048791661948,-2.10848097758292,-4.31048791661948,-4.31048791661948
"ENSG00000167646",4.2517741146169,3.45824718853964,1.12597362039903,5.13876531047787,5.6242065712772,5.44800044441641,5.33373223420183,5.58006752998598,5.96646179477637,7.33705088415488,4.97930198030124
"ENSG00000167656",7.22314616488325,9.17553953696678,7.65741300150523,7.53281674979676,4.92938771622592,5.23414211420627,5.16931945061811,7.31119438335886,4.25261155541605,5.88019894849692,6.29565454345179
"ENSG00000167676",3.72673222716659,2.00133928573269,7.15012729985084,6.76996466610428,2.59579441674058,3.3991770388237,1.84974274056892,1.47805889773389,2.00739541426089,2.45824383560502,1.78816718970854
"ENSG00000167680",2.56577662937916,2.14820433014721,7.42829341926864,5.28902838942649,-0.252930286191915,1.62410802450074,-0.743807436431564,-1.68544730263676,-1.27444543832047,0.0971702339139413,-1.13046192311138
"ENSG00000167740",5.06151354869912,4.62225006653646,3.86482145575152,4.49543133138168,5.5540831903149,5.40171609625658,5.54370545797519,5.65610211296824,5.66354218162189,5.82597551065839,5.54713236138049
"ENSG00000167754",2.08999768093358,5.3808501727506,5.63067745074169,2.03294774040291,1.64463496540611,-2.73088696578762,-2.54035013290914,-4.31048791661948,-1.44218005030672,-3.2647325551293,-2.30196055020021
"ENSG00000167755",3.95138451927142,5.9045269189251,7.13509635212126,5.14793164760434,4.12133249450458,-0.148164338322014,-2.54035013290914,-4.31048791661948,0.497326676870899,-0.768914879895012,-3.30479740903725
"ENSG00000167759",5.58294104983778,7.30712748851291,7.35771258612413,5.55405313330798,6.05455971327646,4.91149614627619,1.1221422655608,2.26443947707929,2.12461149449799,3.66799080840957,2.32280769262074
"ENSG00000167772",2.78231595118633,4.72278537100459,6.77809676689093,4.54253008807304,4.42310466056483,0.564378929189349,0.621814249710503,1.26001000949577,1.36098966355869,1.57245733282855,-0.129832953141303
"ENSG00000167779",1.01916480452361,3.83492159204327,2.20763110882119,2.90413503123865,1.20889311926362,-0.858372453141631,-1.07200237878248,0.400949595483864,0.298778486021004,-0.319328225498719,0.344274297655212
"ENSG00000167840",4.09045068224473,4.29070571010053,2.26969688982538,3.58816952432877,4.68881339403704,4.21870239732919,4.97260795892826,4.88045476699906,4.87919479499495,5.17929880846094,4.6152324244297
"ENSG00000167850",-0.103226244482613,-0.464729043789762,3.06620994642134,2.93270230610647,-1.08593397492627,-0.732902695163432,-1.9267105666123,-1.54174375758553,-1.27444543832047,-0.225853442351332,-2.71794304941714
"ENSG00000167851",6.12454423285132,4.02615450915231,9.07959891186535,7.42718717155939,2.95987416018668,3.88850390537488,0.905306353478432,1.8737945681117,2.65807572208203,2.61805688520783,0.985982826872011
"ENSG00000167858",7.09106599801784,5.86183042442677,3.83946523889695,7.40463314069495,8.36449125549501,7.91568262166386,8.00117718773454,8.33880188164736,8.81223434709207,9.44172144164779,8.09787471214415
"ENSG00000167874",2.34463572424252,1.72196757577787,4.45481419553771,3.99267823045679,0.8783933197655,1.61233193250444,0.407275446228383,0.82884803454736,0.671826347334688,1.82268622083325,-0.21233210397716
"ENSG00000167880",3.54034132675614,5.51838798541434,7.12987674149309,5.76865130464166,4.44416840865125,4.30901656271006,2.67096515313821,3.41275920457885,3.67810348445269,4.69232426851397,3.26305330152024
"ENSG00000167969",5.04279439698388,4.71943277736319,5.18777631765367,5.20173930744647,5.68593018866573,5.96397805538757,6.08231750401423,5.8309308446966,6.05625598145469,7.23337007865744,5.89746322649003
"ENSG00000167977",3.55482693079049,4.55988483324934,6.12305910472906,5.21245832469129,3.79499317390931,3.83630870066348,2.6004585503984,2.93927735191363,3.32007144093888,4.14567366262456,3.11865709056735
"ENSG00000167984",2.97774075639368,1.28733975333898,0.343390859259094,2.18317305520122,3.04046167724465,3.18930126087325,3.97770608367093,3.77724183648873,3.7184455988824,3.87469377988706,3.62860223831497
"ENSG00000167994",1.73889212725827,1.19380101586123,4.6628259314673,1.01542518304212,0.271776062639515,-0.995802631383023,-3.16942621151311,-0.892040653238616,-3.38426267625045,-1.42556147912602,-0.978333013733505
"ENSG00000167995",3.71172803315502,2.03409335443096,6.19579859394529,6.13977650870002,1.17569449676905,2.4026379694897,-0.672227503569707,-0.383084769138049,0.0993572839030977,1.70892085545056,-1.13046192311138
"ENSG00000167996",8.18023082868663,7.6847168067178,11.1948998563947,10.9526173383376,7.04743206790113,7.00789489852074,6.08102340923371,5.11407102212705,5.84474319033345,7.74970028236856,7.55904300430861
"ENSG00000168003",6.6242839211528,7.77286656950122,9.53422357312254,7.77982260865385,6.17494905615158,6.90697435939931,5.97841697508166,6.46934854392788,6.441574400404,6.87793745093245,6.97028508765383
"ENSG00000168010",5.8655160894239,4.55800911914488,8.1629623412506,7.79302923705429,4.49383775237676,5.88298046793011,3.39643718530984,3.86368693130129,4.01011088362348,4.11250064194327,3.06274573490765
