Names	total	elements
		ENSG00000101188
		ENSG00000175793
		ENSG00000158669
		ENSG00000129749
		ENSG00000128510
		ENSG00000217128
		ENSG00000257230
		ENSG00000120318
		ENSG00000276043
		ENSG00000121879
		ENSG00000078269
		ENSG00000137193
		ENSG00000167193
		ENSG00000225450
		ENSG00000232470
		ENSG00000261272
		ENSG00000177464
		ENSG00000166920
		ENSG00000125753
		ENSG00000033627
		ENSG00000265531
		ENSG00000174010
		ENSG00000039319
		ENSG00000134871
		ENSG00000196189
		ENSG00000138069
		ENSG00000255328
		ENSG00000135111
		ENSG00000171643
		ENSG00000258907
		ENSG00000157107
		ENSG00000142657
		ENSG00000106351
		ENSG00000243806
		ENSG00000137509
		ENSG00000083168
		ENSG00000148926
		ENSG00000015285
		ENSG00000118596
		ENSG00000204791
		ENSG00000249476
		ENSG00000258227
		ENSG00000196739
		ENSG00000135604
		ENSG00000183963
		ENSG00000004399
		ENSG00000132965
		ENSG00000237772
		ENSG00000125089
		ENSG00000136286
		ENSG00000139926
		ENSG00000146399
		ENSG00000181016
		ENSG00000145623
		ENSG00000237094
		ENSG00000107984
		ENSG00000187912
		ENSG00000212743
		ENSG00000171631
		ENSG00000122641
		ENSG00000111729
		ENSG00000110799
		ENSG00000175040
		ENSG00000227507
		ENSG00000130340
		ENSG00000144596
		ENSG00000102144
		ENSG00000163803
		ENSG00000234436
		ENSG00000251634
		ENSG00000248099
		ENSG00000135720
		ENSG00000249173
		ENSG00000166501
		ENSG00000173530
		ENSG00000188215
		ENSG00000104635
		ENSG00000114737
		ENSG00000167434
		ENSG00000172432
		ENSG00000129355
		ENSG00000183307
		ENSG00000177535
		ENSG00000118369
		ENSG00000120738
		ENSG00000198223
		ENSG00000171700
		ENSG00000228315
		ENSG00000121749
		ENSG00000189001
		ENSG00000084112
		ENSG00000197746
		ENSG00000029153
		ENSG00000285999
		ENSG00000184254
		ENSG00000228463
		ENSG00000197324
		ENSG00000072110
		ENSG00000260923
		ENSG00000100139
		ENSG00000170345
		ENSG00000204936
		ENSG00000219607
		ENSG00000151651
		ENSG00000142583
		ENSG00000178789
		ENSG00000163743
		ENSG00000172757
		ENSG00000128294
		ENSG00000165732
		ENSG00000131446
		ENSG00000227740
		ENSG00000164951
		ENSG00000284948
		ENSG00000115935
		ENSG00000166523
		ENSG00000133657
		ENSG00000255443
		ENSG00000100485
		ENSG00000135905
		ENSG00000171049
		ENSG00000101425
		ENSG00000197903
		ENSG00000167461
		ENSG00000177494
		ENSG00000111144
		ENSG00000132718
		ENSG00000163110
		ENSG00000286379
		ENSG00000157557
		ENSG00000115956
